101年度綜稅所得總額各縣市鄉鎮村里統計分析表-基隆市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中正區,德義里,308,254272,826,570,305,1066,785.08,95.1
中正區,正義里,426,311456,731,552,369,898,567.1,77.57
中正區,信義里,321,256632,799,568,329,993,1308.23,163.64
中正區,義重里,346,246434,712,552,370,885,602.52,84.6
中正區,港通里,501,489248,977,644,348,1236,1079.35,110.53
中正區,中船里,384,284121,740,581,350,966,589.32,79.65
中正區,正船里,411,306142,745,577,345,907,705.5,94.71
中正區,入船里,277,208561,753,613,339,1027,561.59,74.59
中正區,中砂里,379,285156,752,549,314,959,723.26,96.13
中正區,正砂里,822,685613,834,590,346,1051,900,107.9
中正區,真砂里,464,386550,833,562,371,857,2511.15,301.43
中正區,砂灣里,634,453949,716,555,340,906,569.39,79.52
中正區,中濱里,389,250781,645,477,300,796,556.74,86.36
中正區,中正里,580,388151,669,505,322,817,621.81,92.91
中正區,正濱里,327,269618,825,592,402,941,1093.93,132.67
中正區,社寮里,530,333313,629,503,336,781,496.47,78.94
中正區,平寮里,441,286280,649,530,345,811,492.64,75.89
中正區,八斗里,419,274664,656,530,335,847,523.8,79.91
中正區,長潭里,132,90237,684,516,380,854,553.93,81.03
中正區,砂子里,1378,909431,660,532,335,839,539.98,81.82
中正區,海濱里,362,230601,637,515,346,849,440.24,69.11
中正區,建國里,640,550166,860,646,399,1156,664.87,77.34
中正區,和憲里,243,139406,574,482,315,709,419.15,73.06
中正區,碧砂里,341,203133,596,481,313,741,450.59,75.64
中正區,新豐里,1607,1234702,768,610,365,1001,659.22,85.8
中正區,新富里,1438,994428,692,537,331,865,554.44,80.18
中正區,其　他,0,0,0,0,0,0,0,0
中正區,合　計,14100,10323046,732,555,343,908,809.1,110.51
七堵區,八德里,554,363163,656,505,329,802,576.86,88
七堵區,長興里,1278,883690,691,547,357,854,532.67,77.03
七堵區,正光里,747,543088,727,556,336,885,655.55,90.17
七堵區,永平里,656,483599,737,563,356,954,596.42,80.9
七堵區,富民里,1293,1021769,790,588,351,991,740.95,93.76
七堵區,自強里,281,191506,682,534,325,857,525.67,77.13
七堵區,泰安里,1431,993265,694,550,345,857,588.96,84.85
七堵區,堵南里,689,456742,663,521,335,844,509.35,76.84
七堵區,堵北里,1233,864464,701,552,345,873,587.22,83.76
七堵區,六堵里,740,570505,771,582,380,957,693.84,90
七堵區,友一里,646,710712,1100,737,409,1360,1254.89,114.06
七堵區,友二里,116,63778,550,475,259,675,419.69,76.33
七堵區,瑪東里,71,51183,721,461,304,774,827.83,114.84
七堵區,瑪南里,134,88604,661,528,319,777,550.88,83.31
七堵區,瑪西里,83,50374,607,479,270,809,460.39,75.86
七堵區,永安里,785,596327,760,570,361,957,726.13,95.59
七堵區,百福里,2014,1484556,737,558,352,928,696.91,94.55
七堵區,實踐里,1282,848408,662,522,331,814,521.15,78.75
七堵區,正明里,738,560477,759,599,358,1011,602.93,79.39
七堵區,長安里,660,438883,665,500,344,829,543.59,81.75
七堵區,其　他,16,10099,631,536,370,686,449.83,71.27
七堵區,合　計,15447,11275193,730,554,348,906,664.01,90.97
暖暖區,碇內里,784,577472,737,570,349,946,634.52,86.14
暖暖區,過港里,1149,844247,735,559,350,908,741.16,100.87
暖暖區,暖暖里,815,637091,782,612,379,1022,597.52,76.44
暖暖區,暖同里,847,693317,819,581,344,968,921.27,112.55
暖暖區,暖西里,1505,1322768,879,623,375,1085,893.89,101.7
暖暖區,暖東里,115,79431,691,513,328,821,604.63,87.54
暖暖區,八西里,443,328956,743,563,350,987,629.98,84.84
暖暖區,八堵里,189,148212,784,570,377,871,1318.7,168.16
暖暖區,八南里,219,140821,643,504,334,777,545.03,84.76
暖暖區,八中里,143,90443,632,488,318,766,506.39,80.07
暖暖區,碇和里,973,752659,774,586,346,1008,667.34,86.27
暖暖區,碇安里,1624,1279034,788,626,378,1030,649.65,82.49
暖暖區,碇祥里,1621,1253886,774,598,363,976,666.55,86.17
暖暖區,其　他,11,7895,718,779,311,1007,461.19,64.26
暖暖區,合　計,10438,8156233,781,587,360,983,737.06,94.33
仁愛區,仁德里,407,364307,895,568,319,1024,1515.49,169.31
仁愛區,和明里,673,667956,993,677,368,1255,1764.87,177.82
仁愛區,水錦里,652,550171,844,654,349,1147,707.3,83.82
仁愛區,玉田里,337,307624,913,626,372,1083,1701.92,186.44
仁愛區,新店里,292,230276,789,551,285,955,809.54,102.65
仁愛區,文昌里,290,214293,739,540,322,914,673.6,91.16
仁愛區,誠仁里,310,198349,640,523,338,823,516.48,80.72
仁愛區,林泉里,582,425779,732,567,321,907,726.39,99.29
仁愛區,育仁里,216,131508,609,494,324,743,491.18,80.68
仁愛區,吉仁里,837,516218,617,494,305,765,503.17,81.58
仁愛區,博愛里,526,418583,796,570,343,951,964.25,121.17
仁愛區,福仁里,233,158405,680,514,333,834,657.84,96.76
仁愛區,智仁里,909,795082,875,651,390,1188,743.6,85.01
仁愛區,曲水里,276,201221,729,580,320,914,638.69,87.6
仁愛區,德厚里,588,448527,763,569,361,930,878.8,115.21
仁愛區,英仁里,388,240027,619,489,295,789,465.26,75.21
仁愛區,龍門里,220,136272,619,489,325,760,479.89,77.47
仁愛區,花崗里,373,283812,761,561,326,967,652.33,85.73
仁愛區,同風里,197,116141,590,427,268,782,474.16,80.43
仁愛區,虹橋里,527,458146,869,617,381,1166,992.04,114.11
仁愛區,書院里,288,186952,649,452,294,722,715.9,110.29
仁愛區,獅球里,268,170048,635,503,307,782,483.78,76.25
仁愛區,忠勇里,328,262262,800,571,348,982,725.74,90.76
仁愛區,文安里,231,132870,575,483,272,767,455.65,79.22
仁愛區,明德里,208,143766,691,531,308,934,569.7,82.42
仁愛區,兆連里,199,135912,683,509,327,849,582.62,85.31
仁愛區,崇文里,287,200002,697,506,321,834,679.52,97.51
仁愛區,朝棟里,865,645995,747,561,335,974,605.74,81.11
仁愛區,光華里,755,558807,740,576,339,947,648.26,87.59
仁愛區,其　他,22,10977,499,345,246,546,472.81,94.76
仁愛區,合　計,12284,9310288,758,557,331,947,869.55,114.73
中山區,安平里,265,168160,635,501,324,777,510.67,80.47
中山區,安民里,363,253476,698,542,334,901,578.77,82.89
中山區,新建里,203,135700,668,530,285,828,597.57,89.39
中山區,中山里,302,201689,668,516,321,840,594.43,89.01
中山區,民治里,267,167669,628,508,323,787,541.48,86.23
中山區,中興里,432,296889,687,540,333,886,529.65,77.07
中山區,仁正里,253,165982,656,535,353,778,468.16,71.36
中山區,健民里,372,236935,637,533,334,798,477.53,74.97
中山區,通化里,282,189312,671,533,372,795,582.25,86.73
中山區,居仁里,372,256892,691,525,355,881,569.27,82.43
中山區,通明里,556,376718,678,538,326,870,561.83,82.92
中山區,協和里,488,384903,789,585,377,1121,644.38,81.7
中山區,文化里,282,189886,673,535,326,921,492.96,73.21
中山區,和平里,162,127781,789,711,413,1129,496.11,62.9
中山區,仙洞里,186,124786,671,528,339,778,545.69,81.34
中山區,太白里,249,179008,719,621,399,933,517.29,71.95
中山區,西榮里,202,134867,668,538,334,803,555.08,83.14
中山區,西華里,295,204219,692,529,321,843,638.02,92.16
中山區,西定里,292,189334,648,518,322,851,487.34,75.16
中山區,西康里,400,257165,643,529,346,837,475.19,73.91
中山區,德和里,2064,1811181,878,622,378,1148,816.18,93.01
中山區,德安里,1250,1014526,812,623,394,1035,677.69,83.5
中山區,中和里,1815,1387026,764,582,367,942,873.67,114.33
中山區,和慶里,1857,1251682,674,563,362,837,496.88,73.72
中山區,其　他,18,8382,466,414,350,617,193.13,41.47
中山區,合　計,13227,9714168,734,568,356,923,659.35,89.78
安樂區,嘉仁里,1052,683746,650,502,315,807,544.92,83.84
安樂區,樂一里,182,98892,543,461,278,684,429.53,79.05
安樂區,定國里,315,204497,649,521,346,851,490.04,75.48
安樂區,安和里,302,213362,706,559,326,845,575.87,81.51
安樂區,定邦里,383,246883,645,509,306,818,563.61,87.44
安樂區,永康里,650,420254,647,534,337,806,513.35,79.4
安樂區,慈仁里,305,196981,646,490,326,796,583.97,90.42
安樂區,干城里,619,375363,606,520,347,757,406.22,66.99
安樂區,外寮里,1340,965691,721,571,335,928,602.68,83.63
安樂區,中崙里,538,432195,803,586,377,1019,765.31,95.27
安樂區,內寮里,1739,1390803,800,578,356,996,777.61,97.23
安樂區,西川里,336,215571,642,477,305,802,795.26,123.95
安樂區,新西里,414,276203,667,531,354,857,502.23,75.28
安樂區,新崙里,1325,1003138,757,589,362,963,646.24,85.36
安樂區,鶯歌里,1130,1050019,929,668,369,1245,1091.83,117.5
安樂區,三民里,991,667737,674,529,323,866,530.16,78.68
安樂區,四維里,1869,1624852,869,649,388,1190,761.67,87.61
安樂區,五福里,1221,914552,749,565,363,931,733.66,97.95
安樂區,六合里,1448,1177103,813,583,364,1043,758.84,93.35
安樂區,七賢里,990,702465,710,551,339,876,581.53,81.96
安樂區,長樂里,1274,1474113,1157,786,435,1440,1668.66,144.21
安樂區,武崙里,1555,1371773,882,695,399,1147,727.79,82.5
安樂區,興寮里,1490,1151120,773,607,370,1014,590.14,76.39
安樂區,鶯安里,1127,1069659,949,738,399,1260,838.85,88.38
安樂區,壯觀里,1462,1447275,990,826,467,1282,834.37,84.29
安樂區,其　他,17,9409,553,450,259,577,482.31,87.14
安樂區,合　計,24074,19383658,805,602,362,1028,799.97,99.35
信義區,仁壽里,436,394150,904,601,322,1028,1077.08,119.14
信義區,仁義里,550,531978,967,648,413,1247,1212.15,125.32
信義區,義幸里,879,745018,848,598,337,1067,947.97,111.85
信義區,義民里,255,194370,762,588,324,968,674.36,88.47
信義區,義和里,417,303321,727,572,353,941,566.11,77.83
信義區,智慧里,221,178189,806,625,374,1080,683.93,84.83
信義區,智誠里,427,272575,638,494,318,800,496.4,77.76
信義區,禮儀里,547,428298,783,571,353,981,736.96,94.12
信義區,禮東里,606,547767,904,619,384,1085,995.65,110.15
信義區,信綠里,780,620160,795,609,365,1045,684.33,86.07
信義區,孝岡里,436,315241,723,559,346,940,564.26,78.04
信義區,孝深里,1051,686436,653,534,335,819,508.65,77.88
信義區,東光里,661,496186,751,553,350,940,781.58,104.12
信義區,東安里,975,756334,776,557,345,948,786.61,101.4
信義區,義昭里,329,270843,823,603,339,1084,767.86,93.27
信義區,東明里,1213,925755,763,595,363,1024,615.81,80.69
信義區,東信里,1339,1128740,843,636,385,1136,693.11,82.22
信義區,孝賢里,1148,926282,807,607,367,1042,761.84,94.42
信義區,孝德里,731,470545,644,550,340,807,472.28,73.37
信義區,孝忠里,2069,1894470,916,678,383,1184,1248.77,136.38
信義區,其　他,7,6669,953,816,278,1452,747.59,78.47
信義區,合　計,15077,12093327,802,596,358,1023,842.72,105.06
其　他,其　他,36,37958,1054,795,382,1570,867.57,82.28
其　他,合　計,36,37958,1054,795,382,1570,867.57,82.28
