101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：連江縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南竿鄉,介壽村,726,720072,992,817,484,1286,721.13,72.71
南竿鄉,復興村,313,324646,1037,817,502,1370,746.36,71.96
南竿鄉,福沃村,247,249700,1011,854,477,1396,723.62,71.58
南竿鄉,清水村,221,236911,1072,828,500,1358,869.84,81.14
南竿鄉,珠螺村,35,31444,898,764,458,1183,643.56,71.63
南竿鄉,仁愛村,162,161983,1000,788,490,1380,670.36,67.04
南竿鄉,津沙村,71,82023,1155,799,420,1467,1119,96.86
南竿鄉,馬祖村,157,158019,1006,758,468,1379,790.75,78.56
南竿鄉,四維村,50,47422,948,686,495,1309,735.74,77.57
南竿鄉,其　他,0,0,0,0,0,0,0,0
南竿鄉,合　計,1982,2012219,1015,812,483,1341,761.14,74.97
北竿鄉,塘岐村,288,294104,1021,791,433,1326,832.9,81.56
北竿鄉,后沃村,52,54123,1041,767,451,1494,789.99,75.9
北竿鄉,橋仔村,63,50110,795,647,444,1141,465.76,58.56
北竿鄉,芹壁村,46,37945,825,694,362,1228,591.06,71.65
北竿鄉,坂里村,75,58060,774,624,437,1025,540.19,69.78
北竿鄉,白沙村,32,22386,700,642,365,1036,454.95,65.03
北竿鄉,其　他,0,0,0,0,0,0,0,0
北竿鄉,合　計,556,516728,929,729,419,1260,730.68,78.62
莒光鄉,青帆村,137,140715,1027,863,505,1303,781.37,76.07
莒光鄉,田沃村,64,55471,867,738,481,1166,572.02,66
莒光鄉,西坵村,20,13931,697,735,304,1027,450.73,64.71
莒光鄉,大坪村,133,117349,882,724,420,1113,664.5,75.31
莒光鄉,福正村,37,26498,716,548,368,957,576.86,80.55
莒光鄉,其　他,0,0,0,0,0,0,0,0
莒光鄉,合　計,391,353964,905,740,439,1162,683.44,75.5
東引鄉,中柳村,171,157445,921,810,512,1202,574.77,62.43
東引鄉,樂華村,176,161000,915,785,507,1210,602.4,65.85
東引鄉,其　他,0,0,0,0,0,0,0,0
東引鄉,合　計,347,318445,918,803,510,1208,588.1,64.08
