101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：金門縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
金城鎮,東門里,1253,1154738,922,730,414,1217,725.71,78.75
金城鎮,南門里,1467,1316503,897,725,418,1125,698.61,77.85
金城鎮,西門里,2931,2988380,1020,805,468,1315,822.1,80.63
金城鎮,北門里,1153,1089833,945,733,408,1203,839.82,88.85
金城鎮,賢庵里,1034,939543,909,711,432,1173,764.03,84.08
金城鎮,金水里,545,481803,884,717,433,1167,646.88,73.17
金城鎮,古城里,911,803848,882,733,433,1135,627.68,71.14
金城鎮,珠沙里,719,633410,881,692,401,1149,704.93,80.02
金城鎮,其　他,18,10540,586,387,138,862,587.38,100.31
金城鎮,合　計,10031,9418599,939,743,432,1213,757.26,80.65
金寧鄉,古寧村,753,652065,866,687,418,1091,662.87,76.55
金寧鄉,安美村,946,790518,836,681,408,1082,626.84,75.01
金寧鄉,湖埔村,1269,1213349,956,775,450,1218,777.28,81.29
金寧鄉,榜林村,1178,1038373,881,689,404,1151,700.45,79.46
金寧鄉,盤山村,1104,1009039,914,748,433,1182,681.22,74.53
金寧鄉,后盤村,331,294614,890,738,438,1158,609.51,68.48
金寧鄉,其　他,4,2073,518,584,459,643,230.93,44.57
金寧鄉,合　計,5585,5000032,895,722,425,1155,694.05,77.52
金湖鎮,新市里,1276,1227197,962,745,452,1140,865.34,89.98
金湖鎮,山外里,866,703266,812,666,400,1056,583.12,71.81
金湖鎮,溪湖里,337,252821,750,633,388,945,590.12,78.66
金湖鎮,蓮庵里,406,344246,848,731,428,1160,581.32,68.56
金湖鎮,料羅里,539,483940,898,807,490,1170,607.31,67.64
金湖鎮,新湖里,1864,1703287,914,740,457,1158,727.18,79.58
金湖鎮,正義里,653,552594,846,690,432,1056,648.41,76.62
金湖鎮,瓊林里,803,673311,838,693,429,1082,625.07,74.55
金湖鎮,其　他,7,3812,545,444,239,657,470.73,86.44
金湖鎮,合　計,6751,5944474,881,719,438,1110,699.09,79.39
金沙鎮,汶沙里,1268,1124003,886,707,409,1110,785.13,88.57
金沙鎮,何斗里,467,410932,880,682,414,1079,725.83,82.49
金沙鎮,浦山里,501,404620,808,617,392,1013,645.48,79.92
金沙鎮,西園里,341,273951,803,656,416,1022,604.04,75.19
金沙鎮,官嶼里,487,443301,910,720,434,1139,897.07,98.55
金沙鎮,光前里,556,500235,900,705,419,1189,776.05,86.26
金沙鎮,三山里,432,339303,785,667,420,1016,562.72,71.64
金沙鎮,大洋里,278,234563,844,712,392,1124,652.43,77.32
金沙鎮,其　他,6,5059,843,653,261,1450,769.13,91.22
金沙鎮,合　計,4336,3735967,862,682,410,1094,736.23,85.45
烈嶼鄉,林湖村,738,613379,831,691,440,1087,583.78,70.24
烈嶼鄉,黃埔村,327,280789,859,698,426,1098,633.35,73.76
烈嶼鄉,西口村,506,414170,819,686,426,1055,588.98,71.96
烈嶼鄉,上林村,313,251520,804,629,407,998,717.36,89.27
烈嶼鄉,上岐村,594,493408,831,660,414,1026,671.93,80.89
烈嶼鄉,其　他,1,691,691,691,691,691,0,0
烈嶼鄉,合　計,2479,2053957,829,675,425,1051,630.79,76.13
烏坵鄉,大坵村,61,56001,918,724,460,1181,717.94,78.2
烏坵鄉,小坵村,95,88710,934,791,462,1228,694.95,74.42
烏坵鄉,其　他,0,0,0,0,0,0,0,0
烏坵鄉,合　計,156,144711,928,740,462,1213,701.76,75.65
其　他,其　他,85,66862,787,660,317,1154,581.83,73.97
其　他,合　計,85,66862,787,660,317,1154,581.83,73.97
